0,0,3
1,1,6
3,2,9
6,3,12
10,4,15
15,5,18
21,6,21
28,7,24
36,8,27
45,9,30
55,10,33
66,11,36
78,12,39
91,13,42
105,14,45
120,15,48
136,16,51
153,17,54
171,18,57
190,19,60
210,20,63
231,21,66
253,22,69
276,23,72
300,24,75
325,25,78
351,26,81
378,27,84
406,28,87
435,29,90
465,30,93
496,31,96
528,32,99
561,33,102
595,34,105
630,35,108
666,36,111
703,37,114
741,38,117
780,39,120
820,40,123
861,41,126
903,42,129
946,43,132
990,44,135
1035,45,138
1081,46,141
1128,47,144
1176,48,147
1225,49,150
1275,50,153
1326,51,156
1378,52,159
1431,53,162
1485,54,165
1540,55,168
1596,56,171
1653,57,174
1711,58,177
1770,59,180
1830,60,183
1891,61,186
1953,62,189
2016,63,192
2080,64,195
2145,65,198
2211,66,201
2278,67,204
2346,68,207
2415,69,210
2485,70,213
2556,71,216
2628,72,219
2701,73,222
2775,74,225
2850,75,228
2926,76,231
3003,77,234
3081,78,237
3160,79,240
3240,80,243
3321,81,246
3403,82,249
3486,83,252
3570,84,255
3655,85,258
3741,86,261
3828,87,264
3916,88,267
4005,89,270
4095,90,273
4186,91,276
4278,92,279
4371,93,282
4465,94,285
4560,95,288
4656,96,291
4753,97,294
4851,98,297
4950,99,300
5050,100,303
5151,101,306
5253,102,309
5356,103,312
5460,104,315
5565,105,318
5671,106,321
5778,107,324
5886,108,327
5995,109,330
6105,110,333
6216,111,336
6328,112,339
6441,113,342
6555,114,345
6670,115,348
6786,116,351
6903,117,354
7021,118,357
7140,119,360
7260,120,363
7381,121,366
7503,122,369
7626,123,372
7750,124,375
7875,125,378
8001,126,381
